New log started
Initializing OpenCL environement...
1 - Keypress: 122
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keyrelease: 122
1 - Keypress: 122
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65453
1 - Keyrelease: 65453
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keyrelease: 122
1 - Keypress: 105
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 105
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 105
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keyrelease: 105
1 - Keypress: 122
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
1 - Keypress: 65451
1 - Keyrelease: 65451
